SUPPLIER NAME,EMS CODE,DGP ITEM,EMS ITEM,BUYER CODE,BUYER NAME,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,TTL,Life Cycle,Collabs,Project,Platform
FOXCONN TECHNOLOGY  PTE LTD - MEC,000006,TF4D5,AM3YN000111,G838,"Zhang, Qing",8054,6821,7008,7469,6096,5019,3485,1801,898,102,34,27,46814,MP,1,OASIS 14;OASIS MTL CS 360 CSLW 14,Latitude
FOXCONN TECHNOLOGY  PTE LTD - MEC,000006,K62KJ,AM3YN000603,G838,"Zhang, Qing",0,0,0,0,0,0,0,0,0,0,0,0,0,EOL,0,OASIS 14,Latitude
FOXCONN TECHNOLOGY  PTE LTD - MEC,000006,JVTFR,AM3YN000503,G838,"Zhang, Qing",0,0,0,0,0,0,0,0,0,0,0,0,0,EOL,0,OASIS 14,Latitude
FOXCONN TECHNOLOGY  PTE LTD - MEC,000006,H9CW2,AM3YN000304,G838,"Zhang, Qing",8567,6830,7479,8055,6384,5142,3515,1661,768,79,35,28,48543,MP,1,OASIS 14,Latitude
FOXCONN TECHNOLOGY  PTE LTD - MEC,000006,44K91,AM3YN000204,G838,"Zhang, Qing",0,0,0,0,0,0,0,0,0,0,0,0,0,EOL,0,OASIS 14,Latitude
FOXCONN TECHNOLOGY  PTE LTD - MEC,000006,HD71G,AM3YN000404,G838,"Zhang, Qing",0,0,0,0,0,0,0,0,0,0,0,0,0,EOL,0,OASIS 14,Latitude
FOXCONN TECHNOLOGY  PTE LTD - MEC,000006,N4T0C,AM3YN000414,G838,"Zhang, Qing",298,380,584,543,600,566,318,70,50,37,0,0,3446,MP,1,OASIS 14,Latitude
FOXCONN TECHNOLOGY  PTE LTD - MEC,000006,C6KDY,AM3YN000104,G838,"Zhang, Qing",0,0,0,0,0,0,0,0,0,0,0,0,0,EOL,0,OASIS 14,Latitude
FOXCONN TECHNOLOGY  PTE LTD - MEC,000006,PJCGK,AM3IS000301,G838,"Zhang, Qing",,,,,,,,,,,,,,EOL,0,,
FOXCONN TECHNOLOGY  PTE LTD - MEC,000006,RXMX0,AM3IZ000902,G838,"Zhang, Qing",,,,,,,,,,,,,,EOL,0,,
FOXCONN TECHNOLOGY  PTE LTD - MEC,000006,3PC0P,AM3IV000501,G838,"Zhang, Qing",,,,,,,,,,,,,,EOL,0,,
FOXCONN TECHNOLOGY  PTE LTD - MEC,000006,JV52K,AM3IS000101,G838,"Zhang, Qing",,,,,,,,,,,,,,EOL,0,,
FOXCONN TECHNOLOGY  PTE LTD - MEC,000006,CCMJ5,AM3IV000301,G838,"Zhang, Qing",,,,,,,,,,,,,,EOL,0,,
FOXCONN TECHNOLOGY  PTE LTD - MEC,000006,V9PFC,AM3IV000111,G838,"Zhang, Qing",,,,,,,,,,,,,,EOL,0,,
